2026-04-02 22:25:35,035 [INFO] Loading domains from output/mega_merged_bottom.csv...
2026-04-02 22:25:35,453 [INFO] Total domains: 175,658
2026-04-02 22:25:35,453 [INFO] To process: 175,658
2026-04-02 22:25:35,453 [INFO] Workers: 20, Chunk size: 500
2026-04-02 22:28:16,355 [INFO] Chunk 1/352 | Processed: 500 | Active: 128 | E-commerce: 112 | Rate: 3/s | ETA: 15.7h
2026-04-03 00:26:59,915 [INFO] Chunk 39/352 | Processed: 19,500 | Active: 2,324 | E-commerce: 1,967 | Rate: 3/s | ETA: 16.2h
2026-04-03 00:31:02,886 [INFO] Chunk 40/352 | Processed: 20,000 | Active: 2,335 | E-commerce: 1,970 | Rate: 3/s | ETA: 16.3h
2026-04-03 00:35:03,450 [INFO] Chunk 41/352 | Processed: 20,500 | Active: 2,354 | E-commerce: 1,981 | Rate: 3/s | ETA: 16.3h
2026-04-03 00:39:34,792 [INFO] Chunk 42/352 | Processed: 21,000 | Active: 2,361 | E-commerce: 1,985 | Rate: 3/s | ETA: 16.4h
2026-04-03 00:44:23,632 [INFO] Chunk 43/352 | Processed: 21,500 | Active: 2,374 | E-commerce: 1,995 | Rate: 3/s | ETA: 16.6h
2026-04-03 00:49:19,885 [INFO] Chunk 44/352 | Processed: 22,000 | Active: 2,389 | E-commerce: 2,005 | Rate: 3/s | ETA: 16.7h
2026-04-03 00:53:55,830 [INFO] Chunk 45/352 | Processed: 22,500 | Active: 2,398 | E-commerce: 2,008 | Rate: 3/s | ETA: 16.8h
2026-04-03 00:59:01,522 [INFO] Chunk 46/352 | Processed: 23,000 | Active: 2,404 | E-commerce: 2,009 | Rate: 2/s | ETA: 17.0h
2026-04-03 01:04:11,776 [INFO] Chunk 47/352 | Processed: 23,500 | Active: 2,416 | E-commerce: 2,014 | Rate: 2/s | ETA: 17.1h
2026-04-03 01:08:55,814 [INFO] Chunk 48/352 | Processed: 24,000 | Active: 2,435 | E-commerce: 2,024 | Rate: 2/s | ETA: 17.2h
2026-04-03 01:13:09,912 [INFO] Chunk 49/352 | Processed: 24,500 | Active: 2,458 | E-commerce: 2,038 | Rate: 2/s | ETA: 17.2h
2026-04-03 01:17:36,838 [INFO] Chunk 50/352 | Processed: 25,000 | Active: 2,473 | E-commerce: 2,044 | Rate: 2/s | ETA: 17.3h
2026-04-03 01:22:36,677 [INFO] Chunk 51/352 | Processed: 25,500 | Active: 2,486 | E-commerce: 2,051 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:27:05,820 [INFO] Chunk 52/352 | Processed: 26,000 | Active: 2,505 | E-commerce: 2,060 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:31:35,789 [INFO] Chunk 53/352 | Processed: 26,500 | Active: 2,521 | E-commerce: 2,066 | Rate: 2/s | ETA: 17.4h
2026-04-03 01:36:34,888 [INFO] Chunk 54/352 | Processed: 27,000 | Active: 2,534 | E-commerce: 2,075 | Rate: 2/s | ETA: 17.5h
2026-04-03 01:41:13,274 [INFO] Chunk 55/352 | Processed: 27,500 | Active: 2,548 | E-commerce: 2,084 | Rate: 2/s | ETA: 17.6h
2026-04-03 01:46:19,757 [INFO] Chunk 56/352 | Processed: 28,000 | Active: 2,558 | E-commerce: 2,093 | Rate: 2/s | ETA: 17.6h
2026-04-03 01:51:35,864 [INFO] Chunk 57/352 | Processed: 28,500 | Active: 2,572 | E-commerce: 2,100 | Rate: 2/s | ETA: 17.7h
2026-04-03 01:56:12,166 [INFO] Chunk 58/352 | Processed: 29,000 | Active: 2,582 | E-commerce: 2,108 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:00:15,540 [INFO] Chunk 59/352 | Processed: 29,500 | Active: 2,601 | E-commerce: 2,120 | Rate: 2/s | ETA: 17.7h
2026-04-03 02:05:14,831 [INFO] Chunk 60/352 | Processed: 30,000 | Active: 2,612 | E-commerce: 2,126 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:10:03,528 [INFO] Chunk 61/352 | Processed: 30,500 | Active: 2,622 | E-commerce: 2,135 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:14:10,861 [INFO] Chunk 62/352 | Processed: 31,000 | Active: 2,644 | E-commerce: 2,148 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:19:15,844 [INFO] Chunk 63/352 | Processed: 31,500 | Active: 2,655 | E-commerce: 2,154 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:23:59,682 [INFO] Chunk 64/352 | Processed: 32,000 | Active: 2,671 | E-commerce: 2,162 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:28:42,509 [INFO] Chunk 65/352 | Processed: 32,500 | Active: 2,683 | E-commerce: 2,172 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:33:23,865 [INFO] Chunk 66/352 | Processed: 33,000 | Active: 2,697 | E-commerce: 2,175 | Rate: 2/s | ETA: 17.9h
2026-04-03 02:38:14,840 [INFO] Chunk 67/352 | Processed: 33,500 | Active: 2,709 | E-commerce: 2,180 | Rate: 2/s | ETA: 17.9h
2026-04-03 02:42:31,857 [INFO] Chunk 68/352 | Processed: 34,000 | Active: 2,728 | E-commerce: 2,195 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:47:17,388 [INFO] Chunk 69/352 | Processed: 34,500 | Active: 2,746 | E-commerce: 2,206 | Rate: 2/s | ETA: 17.8h
2026-04-03 02:52:33,881 [INFO] Chunk 70/352 | Processed: 35,000 | Active: 2,760 | E-commerce: 2,214 | Rate: 2/s | ETA: 17.9h
2026-04-03 02:57:21,875 [INFO] Chunk 71/352 | Processed: 35,500 | Active: 2,775 | E-commerce: 2,220 | Rate: 2/s | ETA: 17.9h
2026-04-03 03:01:52,820 [INFO] Chunk 72/352 | Processed: 36,000 | Active: 2,791 | E-commerce: 2,230 | Rate: 2/s | ETA: 17.9h
2026-04-03 03:07:01,710 [INFO] Chunk 73/352 | Processed: 36,500 | Active: 2,805 | E-commerce: 2,237 | Rate: 2/s | ETA: 17.9h
2026-04-03 03:11:43,720 [INFO] Chunk 74/352 | Processed: 37,000 | Active: 2,820 | E-commerce: 2,249 | Rate: 2/s | ETA: 17.9h
2026-04-03 03:15:45,823 [INFO] Chunk 75/352 | Processed: 37,500 | Active: 2,850 | E-commerce: 2,268 | Rate: 2/s | ETA: 17.8h
2026-04-03 03:19:54,400 [INFO] Chunk 76/352 | Processed: 38,000 | Active: 2,869 | E-commerce: 2,280 | Rate: 2/s | ETA: 17.8h
2026-04-03 03:24:26,722 [INFO] Chunk 77/352 | Processed: 38,500 | Active: 2,880 | E-commerce: 2,288 | Rate: 2/s | ETA: 17.7h
2026-04-03 03:29:05,638 [INFO] Chunk 78/352 | Processed: 39,000 | Active: 2,900 | E-commerce: 2,297 | Rate: 2/s | ETA: 17.7h
2026-04-03 03:33:12,234 [INFO] Chunk 79/352 | Processed: 39,500 | Active: 2,915 | E-commerce: 2,305 | Rate: 2/s | ETA: 17.7h
2026-04-03 03:37:01,886 [INFO] Chunk 80/352 | Processed: 40,000 | Active: 2,942 | E-commerce: 2,322 | Rate: 2/s | ETA: 17.6h
2026-04-03 03:39:32,751 [WARNING] Can not load cookies: Illegal cookie name 'Secure,JSESSIONID'
2026-04-03 03:39:32,751 [WARNING] Can not load cookies: Illegal cookie name 'Secure,X-CSRF-Token'
2026-04-03 03:41:14,829 [INFO] Chunk 81/352 | Processed: 40,500 | Active: 2,956 | E-commerce: 2,331 | Rate: 2/s | ETA: 17.6h
2026-04-03 03:45:45,594 [INFO] Chunk 82/352 | Processed: 41,000 | Active: 2,988 | E-commerce: 2,356 | Rate: 2/s | ETA: 17.5h
2026-04-03 03:50:15,601 [INFO] Chunk 83/352 | Processed: 41,500 | Active: 3,009 | E-commerce: 2,368 | Rate: 2/s | ETA: 17.5h
2026-04-03 03:54:25,805 [INFO] Chunk 84/352 | Processed: 42,000 | Active: 3,035 | E-commerce: 2,383 | Rate: 2/s | ETA: 17.4h
2026-04-03 03:58:38,783 [INFO] Chunk 85/352 | Processed: 42,500 | Active: 3,057 | E-commerce: 2,396 | Rate: 2/s | ETA: 17.4h
2026-04-03 04:02:46,754 [INFO] Chunk 86/352 | Processed: 43,000 | Active: 3,076 | E-commerce: 2,405 | Rate: 2/s | ETA: 17.3h
2026-04-03 04:06:41,820 [INFO] Chunk 87/352 | Processed: 43,500 | Active: 3,097 | E-commerce: 2,417 | Rate: 2/s | ETA: 17.3h
2026-04-03 04:10:32,823 [INFO] Chunk 88/352 | Processed: 44,000 | Active: 3,119 | E-commerce: 2,430 | Rate: 2/s | ETA: 17.2h
2026-04-03 04:14:34,881 [INFO] Chunk 89/352 | Processed: 44,500 | Active: 3,141 | E-commerce: 2,447 | Rate: 2/s | ETA: 17.1h
2026-04-03 04:18:29,844 [INFO] Chunk 90/352 | Processed: 45,000 | Active: 3,159 | E-commerce: 2,459 | Rate: 2/s | ETA: 17.1h
2026-04-03 04:22:48,488 [INFO] Chunk 91/352 | Processed: 45,500 | Active: 3,179 | E-commerce: 2,474 | Rate: 2/s | ETA: 17.0h
2026-04-03 04:26:12,859 [INFO] Chunk 92/352 | Processed: 46,000 | Active: 3,203 | E-commerce: 2,489 | Rate: 2/s | ETA: 16.9h
2026-04-03 04:30:23,872 [INFO] Chunk 93/352 | Processed: 46,500 | Active: 3,230 | E-commerce: 2,508 | Rate: 2/s | ETA: 16.9h
2026-04-03 04:32:52,917 [INFO] Chunk 94/352 | Processed: 47,000 | Active: 3,259 | E-commerce: 2,528 | Rate: 2/s | ETA: 16.8h
2026-04-03 04:35:09,775 [INFO] Chunk 95/352 | Processed: 47,500 | Active: 3,279 | E-commerce: 2,541 | Rate: 2/s | ETA: 16.6h
2026-04-03 04:37:17,913 [INFO] Chunk 96/352 | Processed: 48,000 | Active: 3,308 | E-commerce: 2,560 | Rate: 2/s | ETA: 16.5h
2026-04-03 04:39:24,500 [INFO] Chunk 97/352 | Processed: 48,500 | Active: 3,336 | E-commerce: 2,578 | Rate: 2/s | ETA: 16.3h
2026-04-03 04:41:29,915 [INFO] Chunk 98/352 | Processed: 49,000 | Active: 3,359 | E-commerce: 2,593 | Rate: 2/s | ETA: 16.2h
2026-04-03 04:43:50,912 [INFO] Chunk 99/352 | Processed: 49,500 | Active: 3,394 | E-commerce: 2,618 | Rate: 2/s | ETA: 16.1h
2026-04-03 04:46:11,653 [INFO] Chunk 100/352 | Processed: 50,000 | Active: 3,416 | E-commerce: 2,633 | Rate: 2/s | ETA: 15.9h
2026-04-03 04:48:18,914 [INFO] Chunk 101/352 | Processed: 50,500 | Active: 3,436 | E-commerce: 2,649 | Rate: 2/s | ETA: 15.8h
2026-04-03 04:50:18,915 [INFO] Chunk 102/352 | Processed: 51,000 | Active: 3,458 | E-commerce: 2,669 | Rate: 2/s | ETA: 15.7h
2026-04-03 04:52:48,065 [INFO] Chunk 103/352 | Processed: 51,500 | Active: 3,477 | E-commerce: 2,680 | Rate: 2/s | ETA: 15.6h
2026-04-03 04:55:09,914 [INFO] Chunk 104/352 | Processed: 52,000 | Active: 3,506 | E-commerce: 2,698 | Rate: 2/s | ETA: 15.4h
2026-04-03 04:57:37,520 [INFO] Chunk 105/352 | Processed: 52,500 | Active: 3,524 | E-commerce: 2,709 | Rate: 2/s | ETA: 15.3h
2026-04-03 04:59:53,912 [INFO] Chunk 106/352 | Processed: 53,000 | Active: 3,554 | E-commerce: 2,728 | Rate: 2/s | ETA: 15.2h
2026-04-03 05:02:20,436 [INFO] Chunk 107/352 | Processed: 53,500 | Active: 3,590 | E-commerce: 2,753 | Rate: 2/s | ETA: 15.1h
2026-04-03 05:04:53,919 [INFO] Chunk 108/352 | Processed: 54,000 | Active: 3,624 | E-commerce: 2,777 | Rate: 2/s | ETA: 15.0h
2026-04-03 05:07:11,561 [INFO] Chunk 109/352 | Processed: 54,500 | Active: 3,679 | E-commerce: 2,814 | Rate: 2/s | ETA: 14.9h
2026-04-03 05:09:38,204 [INFO] Chunk 110/352 | Processed: 55,000 | Active: 3,724 | E-commerce: 2,853 | Rate: 2/s | ETA: 14.8h
2026-04-03 05:11:56,262 [INFO] Chunk 111/352 | Processed: 55,500 | Active: 3,773 | E-commerce: 2,890 | Rate: 2/s | ETA: 14.7h
2026-04-03 05:14:09,713 [INFO] Chunk 112/352 | Processed: 56,000 | Active: 3,837 | E-commerce: 2,938 | Rate: 2/s | ETA: 14.6h
2026-04-03 05:16:26,912 [INFO] Chunk 113/352 | Processed: 56,500 | Active: 3,899 | E-commerce: 2,982 | Rate: 2/s | ETA: 14.4h
2026-04-03 05:18:55,208 [INFO] Chunk 114/352 | Processed: 57,000 | Active: 3,957 | E-commerce: 3,024 | Rate: 2/s | ETA: 14.3h
2026-04-03 05:21:06,912 [INFO] Chunk 115/352 | Processed: 57,500 | Active: 4,020 | E-commerce: 3,079 | Rate: 2/s | ETA: 14.2h
2026-04-03 05:22:49,916 [INFO] Chunk 116/352 | Processed: 58,000 | Active: 4,063 | E-commerce: 3,118 | Rate: 2/s | ETA: 14.1h
2026-04-03 05:24:13,900 [INFO] Chunk 117/352 | Processed: 58,500 | Active: 4,100 | E-commerce: 3,147 | Rate: 2/s | ETA: 14.0h
2026-04-03 05:25:38,847 [INFO] Chunk 118/352 | Processed: 59,000 | Active: 4,136 | E-commerce: 3,176 | Rate: 2/s | ETA: 13.8h
2026-04-03 05:27:37,498 [INFO] Chunk 119/352 | Processed: 59,500 | Active: 4,202 | E-commerce: 3,225 | Rate: 2/s | ETA: 13.7h
2026-04-03 05:29:49,744 [INFO] Chunk 120/352 | Processed: 60,000 | Active: 4,276 | E-commerce: 3,283 | Rate: 2/s | ETA: 13.6h
2026-04-03 05:32:17,920 [INFO] Chunk 121/352 | Processed: 60,500 | Active: 4,368 | E-commerce: 3,359 | Rate: 2/s | ETA: 13.5h
2026-04-03 05:34:20,912 [INFO] Chunk 122/352 | Processed: 61,000 | Active: 4,453 | E-commerce: 3,422 | Rate: 2/s | ETA: 13.4h
2026-04-03 05:36:32,913 [INFO] Chunk 123/352 | Processed: 61,500 | Active: 4,551 | E-commerce: 3,500 | Rate: 2/s | ETA: 13.3h
2026-04-03 05:37:25,731 [WARNING] Can not load cookies: Illegal cookie name 'Mills,zip'
2026-04-03 05:38:32,918 [INFO] Chunk 124/352 | Processed: 62,000 | Active: 4,643 | E-commerce: 3,574 | Rate: 2/s | ETA: 13.2h
2026-04-03 05:40:45,912 [INFO] Chunk 125/352 | Processed: 62,500 | Active: 4,740 | E-commerce: 3,656 | Rate: 2/s | ETA: 13.1h
2026-04-03 05:40:57,661 [WARNING] Can not load cookies: Illegal cookie name 'httponly,sb-sf-at-prod'
2026-04-03 05:41:00,568 [WARNING] Can not load cookies: Illegal cookie name 'httponly,sb-sf-at-prod'
2026-04-03 05:42:46,913 [INFO] Chunk 126/352 | Processed: 63,000 | Active: 4,818 | E-commerce: 3,721 | Rate: 2/s | ETA: 13.0h
2026-04-03 05:44:54,262 [INFO] Chunk 127/352 | Processed: 63,500 | Active: 4,885 | E-commerce: 3,774 | Rate: 2/s | ETA: 12.9h
2026-04-03 05:46:54,912 [INFO] Chunk 128/352 | Processed: 64,000 | Active: 4,960 | E-commerce: 3,835 | Rate: 2/s | ETA: 12.8h
2026-04-03 05:49:05,913 [INFO] Chunk 129/352 | Processed: 64,500 | Active: 5,050 | E-commerce: 3,908 | Rate: 2/s | ETA: 12.7h
2026-04-03 05:51:17,918 [INFO] Chunk 130/352 | Processed: 65,000 | Active: 5,140 | E-commerce: 3,980 | Rate: 2/s | ETA: 12.6h
2026-04-03 05:53:30,914 [INFO] Chunk 131/352 | Processed: 65,500 | Active: 5,231 | E-commerce: 4,057 | Rate: 2/s | ETA: 12.6h
2026-04-03 05:55:46,321 [INFO] Chunk 132/352 | Processed: 66,000 | Active: 5,320 | E-commerce: 4,131 | Rate: 2/s | ETA: 12.5h
2026-04-03 05:57:55,659 [INFO] Chunk 133/352 | Processed: 66,500 | Active: 5,404 | E-commerce: 4,201 | Rate: 2/s | ETA: 12.4h
2026-04-03 05:58:02,870 [WARNING] Can not load cookies: Illegal cookie name 'IL,city'
2026-04-03 05:58:03,708 [WARNING] Can not load cookies: Illegal cookie name 'York,zip'
2026-04-03 06:00:01,368 [INFO] Chunk 134/352 | Processed: 67,000 | Active: 5,496 | E-commerce: 4,280 | Rate: 2/s | ETA: 12.3h
2026-04-03 06:02:19,918 [INFO] Chunk 135/352 | Processed: 67,500 | Active: 5,588 | E-commerce: 4,355 | Rate: 2/s | ETA: 12.2h
2026-04-03 06:04:30,370 [INFO] Chunk 136/352 | Processed: 68,000 | Active: 5,660 | E-commerce: 4,418 | Rate: 2/s | ETA: 12.1h
2026-04-03 06:06:39,967 [INFO] Chunk 137/352 | Processed: 68,500 | Active: 5,735 | E-commerce: 4,467 | Rate: 2/s | ETA: 12.0h
2026-04-03 06:09:14,388 [INFO] Chunk 138/352 | Processed: 69,000 | Active: 5,802 | E-commerce: 4,518 | Rate: 2/s | ETA: 11.9h
2026-04-03 06:11:28,112 [INFO] Chunk 139/352 | Processed: 69,500 | Active: 5,880 | E-commerce: 4,580 | Rate: 2/s | ETA: 11.9h
2026-04-03 06:13:40,098 [INFO] Chunk 140/352 | Processed: 70,000 | Active: 5,955 | E-commerce: 4,640 | Rate: 2/s | ETA: 11.8h
2026-04-03 06:15:51,912 [INFO] Chunk 141/352 | Processed: 70,500 | Active: 6,018 | E-commerce: 4,683 | Rate: 2/s | ETA: 11.7h
2026-04-03 06:18:00,456 [INFO] Chunk 142/352 | Processed: 71,000 | Active: 6,091 | E-commerce: 4,735 | Rate: 3/s | ETA: 11.6h
2026-04-03 06:20:06,495 [INFO] Chunk 143/352 | Processed: 71,500 | Active: 6,163 | E-commerce: 4,792 | Rate: 3/s | ETA: 11.5h
2026-04-03 06:22:23,457 [INFO] Chunk 144/352 | Processed: 72,000 | Active: 6,230 | E-commerce: 4,844 | Rate: 3/s | ETA: 11.4h
2026-04-03 06:24:35,911 [INFO] Chunk 145/352 | Processed: 72,500 | Active: 6,291 | E-commerce: 4,890 | Rate: 3/s | ETA: 11.4h
2026-04-03 06:26:44,913 [INFO] Chunk 146/352 | Processed: 73,000 | Active: 6,367 | E-commerce: 4,947 | Rate: 3/s | ETA: 11.3h
2026-04-03 06:29:08,921 [INFO] Chunk 147/352 | Processed: 73,500 | Active: 6,435 | E-commerce: 5,004 | Rate: 3/s | ETA: 11.2h
2026-04-03 06:31:24,293 [INFO] Chunk 148/352 | Processed: 74,000 | Active: 6,495 | E-commerce: 5,041 | Rate: 3/s | ETA: 11.1h
2026-04-03 06:33:45,912 [INFO] Chunk 149/352 | Processed: 74,500 | Active: 6,559 | E-commerce: 5,092 | Rate: 3/s | ETA: 11.0h
2026-04-03 06:36:03,914 [INFO] Chunk 150/352 | Processed: 75,000 | Active: 6,627 | E-commerce: 5,145 | Rate: 3/s | ETA: 11.0h
2026-04-03 06:38:22,912 [INFO] Chunk 151/352 | Processed: 75,500 | Active: 6,692 | E-commerce: 5,192 | Rate: 3/s | ETA: 10.9h
2026-04-03 06:40:37,261 [INFO] Chunk 152/352 | Processed: 76,000 | Active: 6,764 | E-commerce: 5,255 | Rate: 3/s | ETA: 10.8h
2026-04-03 06:43:03,913 [INFO] Chunk 153/352 | Processed: 76,500 | Active: 6,837 | E-commerce: 5,303 | Rate: 3/s | ETA: 10.7h
2026-04-03 06:45:22,112 [INFO] Chunk 154/352 | Processed: 77,000 | Active: 6,865 | E-commerce: 5,323 | Rate: 3/s | ETA: 10.7h
2026-04-03 06:47:30,911 [INFO] Chunk 155/352 | Processed: 77,500 | Active: 6,901 | E-commerce: 5,344 | Rate: 3/s | ETA: 10.6h
2026-04-03 06:49:40,169 [INFO] Chunk 156/352 | Processed: 78,000 | Active: 6,933 | E-commerce: 5,367 | Rate: 3/s | ETA: 10.5h
2026-04-03 06:52:00,985 [INFO] Chunk 157/352 | Processed: 78,500 | Active: 6,998 | E-commerce: 5,414 | Rate: 3/s | ETA: 10.4h
2026-04-03 06:53:54,826 [INFO] Chunk 158/352 | Processed: 79,000 | Active: 7,016 | E-commerce: 5,424 | Rate: 3/s | ETA: 10.4h
2026-04-03 06:55:56,738 [INFO] Chunk 159/352 | Processed: 79,500 | Active: 7,032 | E-commerce: 5,436 | Rate: 3/s | ETA: 10.3h
2026-04-03 06:58:04,741 [INFO] Chunk 160/352 | Processed: 80,000 | Active: 7,042 | E-commerce: 5,440 | Rate: 3/s | ETA: 10.2h
2026-04-03 07:00:38,914 [INFO] Chunk 161/352 | Processed: 80,500 | Active: 7,081 | E-commerce: 5,463 | Rate: 3/s | ETA: 10.1h
2026-04-03 07:02:59,373 [INFO] Chunk 162/352 | Processed: 81,000 | Active: 7,128 | E-commerce: 5,497 | Rate: 3/s | ETA: 10.1h
2026-04-03 07:05:31,141 [INFO] Chunk 163/352 | Processed: 81,500 | Active: 7,192 | E-commerce: 5,540 | Rate: 3/s | ETA: 10.0h
2026-04-03 07:08:01,226 [INFO] Chunk 164/352 | Processed: 82,000 | Active: 7,239 | E-commerce: 5,572 | Rate: 3/s | ETA: 9.9h
2026-04-03 07:10:27,572 [INFO] Chunk 165/352 | Processed: 82,500 | Active: 7,314 | E-commerce: 5,621 | Rate: 3/s | ETA: 9.9h
2026-04-03 07:12:40,046 [INFO] Chunk 166/352 | Processed: 83,000 | Active: 7,376 | E-commerce: 5,665 | Rate: 3/s | ETA: 9.8h
