domain,status,platform,has_products,product_count,ecom_signals,has_payment
001f7b-3.myshopify.com,timeout,,False,0,0,False
001fa4-4.myshopify.com,timeout,,False,0,0,False
00202c-aa.myshopify.com,timeout,,False,0,0,False
00207a-ab.myshopify.com,timeout,,False,0,0,False
0020e8-2.myshopify.com,timeout,,False,0,0,False
002101-eb.myshopify.com,timeout,,False,0,0,False
0021a2-2.myshopify.com,timeout,,False,0,0,False
0021c3-78.myshopify.com,timeout,,False,0,0,False
00224f-15.myshopify.com,timeout,,False,0,0,False
0022b3-95.myshopify.com,timeout,,False,0,0,False
0022df-c2.myshopify.com,timeout,,False,0,0,False
00237c-55.myshopify.com,timeout,,False,0,0,False
00238e-86.myshopify.com,timeout,,False,0,0,False
0023b2-2.myshopify.com,timeout,,False,0,0,False
0023c5-8.myshopify.com,timeout,,False,0,0,False
0023f3-2.myshopify.com,timeout,,False,0,0,False
002404-2.myshopify.com,timeout,,False,0,0,False
002415-84.myshopify.com,timeout,,False,0,0,False
00245f-2.myshopify.com,timeout,,False,0,0,False
00246d-8e.myshopify.com,timeout,,False,0,0,False
00248b-3.myshopify.com,timeout,,False,0,0,False
002532-3.myshopify.com,timeout,,False,0,0,False
00253a-15.myshopify.com,timeout,,False,0,0,False
00253e-2.myshopify.com,timeout,,False,0,0,False
00253f-19.myshopify.com,timeout,,False,0,0,False
00255c-6.myshopify.com,timeout,,False,0,0,False
002582-2.myshopify.com,timeout,,False,0,0,False
002590-e5.myshopify.com,timeout,,False,0,0,False
0025ca-ec.myshopify.com,timeout,,False,0,0,False
0025d8-98.myshopify.com,timeout,,False,0,0,False
002619-2.myshopify.com,timeout,,False,0,0,False
00263c-54.myshopify.com,timeout,,False,0,0,False
00264f-2.myshopify.com,timeout,,False,0,0,False
00266c-uj.myshopify.com,timeout,,False,0,0,False
002671-91.myshopify.com,timeout,,False,0,0,False
002678-2.myshopify.com,timeout,,False,0,0,False
002679-57.myshopify.com,timeout,,False,0,0,False
0026aa-31.myshopify.com,timeout,,False,0,0,False
0026bf-2.myshopify.com,timeout,,False,0,0,False
0026c8-ad.myshopify.com,timeout,,False,0,0,False
00277e-8f.myshopify.com,timeout,,False,0,0,False
0028e8-2.myshopify.com,timeout,,False,0,0,False
0028f0-6.myshopify.com,timeout,,False,0,0,False
002964-5.myshopify.com,timeout,,False,0,0,False
002983-5.myshopify.com,timeout,,False,0,0,False
002a07-1e.myshopify.com,timeout,,False,0,0,False
002a2b-2.myshopify.com,timeout,,False,0,0,False
002abf-4.myshopify.com,timeout,,False,0,0,False
002b19-fd.myshopify.com,timeout,,False,0,0,False
002bc7-78.myshopify.com,timeout,,False,0,0,False
002c37-32.myshopify.com,timeout,,False,0,0,False
002c3d-5f.myshopify.com,timeout,,False,0,0,False
002c52-3.myshopify.com,timeout,,False,0,0,False
002c76-3.myshopify.com,timeout,,False,0,0,False
002c90-2b.myshopify.com,timeout,,False,0,0,False
002cad-5.myshopify.com,timeout,,False,0,0,False
002d4c-77.myshopify.com,timeout,,False,0,0,False
002ddc-28.myshopify.com,timeout,,False,0,0,False
002e8d-9c.myshopify.com,timeout,,False,0,0,False
002f34-3b.myshopify.com,timeout,,False,0,0,False
002f3a-3d.myshopify.com,timeout,,False,0,0,False
002f70-82.myshopify.com,timeout,,False,0,0,False
003022-26.myshopify.com,timeout,,False,0,0,False
003070-2.myshopify.com,timeout,,False,0,0,False
0030c2-7e.myshopify.com,timeout,,False,0,0,False
0030e0-d9.myshopify.com,timeout,,False,0,0,False
0031-shop.myshopify.com,timeout,,False,0,0,False
00310f-2.myshopify.com,timeout,,False,0,0,False
0031a9-c3.myshopify.com,timeout,,False,0,0,False
00325e-44.myshopify.com,timeout,,False,0,0,False
0032a5-07.myshopify.com,timeout,,False,0,0,False
0032ca-12.myshopify.com,timeout,,False,0,0,False
0032cc-c1.myshopify.com,http_404,,False,0,0,False
00331c-c8.myshopify.com,http_404,,False,0,0,False
00336d-2.myshopify.com,http_402,,False,0,0,False
00337b-b6.myshopify.com,http_404,,False,0,0,False
0033ca-4.myshopify.com,http_404,,False,0,0,False
0033e7-8.myshopify.com,active_ecommerce,,True,0,2,False
003403-3.myshopify.com,active_ecommerce,shopify,True,0,4,False
00341d-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
00349a-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
0034ba-3e.myshopify.com,http_404,,False,0,0,False
0034bd-a0.myshopify.com,active_ecommerce,shopify,True,3,5,False
0034c9-38.myshopify.com,http_402,,False,0,0,False
0034f5-2.myshopify.com,http_404,,False,0,0,False
003520-2c.myshopify.com,active_ecommerce,shopify,True,3,5,False
00357f-ed.myshopify.com,http_404,,False,0,0,False
0035f4-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
003639-2.myshopify.com,http_404,,False,0,0,False
003671-97.myshopify.com,active_ecommerce,shopify,True,3,5,False
003673-4.myshopify.com,active_ecommerce,shopify,True,3,5,False
0036b4-4.myshopify.com,active_ecommerce,shopify,True,0,4,True
0036d5-2.myshopify.com,http_404,,False,0,0,False
0036dc-9a.myshopify.com,http_402,,False,0,0,False
0036e7-b2.myshopify.com,http_402,,False,0,0,False
00374e-11.myshopify.com,active_ecommerce,shopify,True,3,5,False
00377e-11.myshopify.com,active_ecommerce,shopify,True,3,5,False
003819-2.myshopify.com,http_404,,False,0,0,False
003856-2.myshopify.com,timeout,,False,0,0,False
003865-2.myshopify.com,http_402,,False,0,0,False
003869-2.myshopify.com,active_ecommerce,shopify,True,3,5,False
003876-38.myshopify.com,http_402,,False,0,0,False
003894-2.myshopify.com,http_404,,False,0,0,False
0038ad-e6.myshopify.com,http_402,,False,0,0,False
003931-01.myshopify.com,http_404,,False,0,0,False
00393d-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
0039aa-2.myshopify.com,http_404,,False,0,0,False
003a36-de.myshopify.com,http_402,,False,0,0,False
003a64-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
003a6a-2.myshopify.com,http_404,,False,0,0,False
003a6c-2.myshopify.com,timeout,,False,0,0,False
003a7a-3.myshopify.com,timeout,,False,0,0,False
003b46-40.myshopify.com,timeout,,False,0,0,False
003b63-2.myshopify.com,timeout,,False,0,0,False
003b67-b4.myshopify.com,timeout,,False,0,0,False
003b92-2.myshopify.com,timeout,,False,0,0,False
003bf0-3.myshopify.com,active_ecommerce,shopify,True,3,5,False
003c5c-b1.myshopify.com,timeout,,False,0,0,False
003cb0-2.myshopify.com,http_404,,False,0,0,False
003d09-2.myshopify.com,http_404,,False,0,0,False
003d7e-3.myshopify.com,timeout,,False,0,0,False
003dc8-c2.myshopify.com,http_404,,False,0,0,False
003dd5-2.myshopify.com,timeout,,False,0,0,False
003dd7-3d.myshopify.com,timeout,,False,0,0,False
003de7-2.myshopify.com,timeout,,False,0,0,False
003de8-2.myshopify.com,timeout,,False,0,0,False
003e6d-2.myshopify.com,http_404,,False,0,0,False
003eac-2.myshopify.com,http_404,,False,0,0,False
003eeb-e2.myshopify.com,timeout,,False,0,0,False
003f19-12.myshopify.com,http_404,,False,0,0,False
003f36-2.myshopify.com,timeout,,False,0,0,False
003f8f-2.myshopify.com,http_404,,False,0,0,False
004058-2.myshopify.com,timeout,,False,0,0,False
0040ee-2.myshopify.com,timeout,,False,0,0,False
004121-2.myshopify.com,timeout,,False,0,0,False
004152-2f.myshopify.com,timeout,,False,0,0,False
004193-2.myshopify.com,timeout,,False,0,0,False
00419e-08.myshopify.com,timeout,,False,0,0,False
0041fc-3.myshopify.com,timeout,,False,0,0,False
00421d-14.myshopify.com,timeout,,False,0,0,False
004237-3a.myshopify.com,timeout,,False,0,0,False
00430d-2.myshopify.com,timeout,,False,0,0,False
004369-4b.myshopify.com,timeout,,False,0,0,False
004394-3.myshopify.com,timeout,,False,0,0,False
0043e3-2.myshopify.com,timeout,,False,0,0,False
00446d-c3.myshopify.com,timeout,,False,0,0,False
0044ae-cf.myshopify.com,timeout,,False,0,0,False
004523-3.myshopify.com,timeout,,False,0,0,False
0045e0-2.myshopify.com,timeout,,False,0,0,False
004622-ce.myshopify.com,timeout,,False,0,0,False
00462b-2.myshopify.com,timeout,,False,0,0,False
004659-2.myshopify.com,timeout,,False,0,0,False
004680-c0.myshopify.com,timeout,,False,0,0,False
00468e-2.myshopify.com,timeout,,False,0,0,False
0046a7-2.myshopify.com,timeout,,False,0,0,False
0046ba-2.myshopify.com,timeout,,False,0,0,False
0046d9-5.myshopify.com,timeout,,False,0,0,False
0047bd-e3.myshopify.com,timeout,,False,0,0,False
004809-2.myshopify.com,timeout,,False,0,0,False
004864-a8.myshopify.com,timeout,,False,0,0,False
00488c-2.myshopify.com,timeout,,False,0,0,False
0048a0-d0.myshopify.com,timeout,,False,0,0,False
0048b3-3.myshopify.com,timeout,,False,0,0,False
0049cb-4d.myshopify.com,timeout,,False,0,0,False
004ab0-3.myshopify.com,timeout,,False,0,0,False
004ad4-68.myshopify.com,timeout,,False,0,0,False
004b20-7f.myshopify.com,timeout,,False,0,0,False
004b21-2.myshopify.com,timeout,,False,0,0,False
004b3a-2.myshopify.com,timeout,,False,0,0,False
004bab-2.myshopify.com,timeout,,False,0,0,False
004be1-49.myshopify.com,timeout,,False,0,0,False
004bec-2.myshopify.com,timeout,,False,0,0,False
004ce4-78.myshopify.com,timeout,,False,0,0,False
004ced-2.myshopify.com,timeout,,False,0,0,False
004d0e-e7.myshopify.com,timeout,,False,0,0,False
004dc5-2.myshopify.com,timeout,,False,0,0,False
004e22-2.myshopify.com,timeout,,False,0,0,False
004ebe-3.myshopify.com,timeout,,False,0,0,False
004edc-d4.myshopify.com,timeout,,False,0,0,False
004f29-2.myshopify.com,timeout,,False,0,0,False
004f55-2.myshopify.com,timeout,,False,0,0,False
004f78-aa.myshopify.com,timeout,,False,0,0,False
004f8a-2.myshopify.com,timeout,,False,0,0,False
004fc4-2.myshopify.com,timeout,,False,0,0,False
004fd3-fc.myshopify.com,timeout,,False,0,0,False
004fde-70.myshopify.com,timeout,,False,0,0,False
0050da-bd.myshopify.com,timeout,,False,0,0,False
0050e5-2.myshopify.com,timeout,,False,0,0,False
00512a-29.myshopify.com,timeout,,False,0,0,False
0051f9-07.myshopify.com,timeout,,False,0,0,False
0051fc-de.myshopify.com,timeout,,False,0,0,False
0051fd-47.myshopify.com,timeout,,False,0,0,False
00522b-4c.myshopify.com,timeout,,False,0,0,False
00522e-c9.myshopify.com,timeout,,False,0,0,False
0052dc-03.myshopify.com,timeout,,False,0,0,False
005378-3.myshopify.com,timeout,,False,0,0,False
0053b8-45.myshopify.com,timeout,,False,0,0,False
0053e8-7c.myshopify.com,timeout,,False,0,0,False
005439-f1.myshopify.com,timeout,,False,0,0,False
005441-d7.myshopify.com,timeout,,False,0,0,False
00544c-e6.myshopify.com,timeout,,False,0,0,False
00545d-dc.myshopify.com,timeout,,False,0,0,False
0054b3-62.myshopify.com,timeout,,False,0,0,False
0054d4-e5.myshopify.com,timeout,,False,0,0,False
00554a-2.myshopify.com,timeout,,False,0,0,False
00556a-38.myshopify.com,timeout,,False,0,0,False
005599-41.myshopify.com,timeout,,False,0,0,False
005649-2.myshopify.com,timeout,,False,0,0,False
0056ef-j9.myshopify.com,timeout,,False,0,0,False
005738-bf.myshopify.com,timeout,,False,0,0,False
00574b-46.myshopify.com,timeout,,False,0,0,False
005784-3.myshopify.com,timeout,,False,0,0,False
005791-4.myshopify.com,timeout,,False,0,0,False
005792-1b.myshopify.com,timeout,,False,0,0,False
00583c-4.myshopify.com,timeout,,False,0,0,False
005897-3.myshopify.com,timeout,,False,0,0,False
00589a-2.myshopify.com,timeout,,False,0,0,False
00591b-2.myshopify.com,timeout,,False,0,0,False
005997-f1.myshopify.com,timeout,,False,0,0,False
00599f-83.myshopify.com,timeout,,False,0,0,False
005a65-10.myshopify.com,timeout,,False,0,0,False
005acd-cd.myshopify.com,timeout,,False,0,0,False
005ade-d5.myshopify.com,timeout,,False,0,0,False
005b34-e7.myshopify.com,timeout,,False,0,0,False
005b38-2.myshopify.com,timeout,,False,0,0,False
005bb3-a9.myshopify.com,timeout,,False,0,0,False
005bc1-2.myshopify.com,timeout,,False,0,0,False
005bc7-f0.myshopify.com,timeout,,False,0,0,False
005c2f-c6.myshopify.com,timeout,,False,0,0,False
005c30-2.myshopify.com,timeout,,False,0,0,False
005c38-7d.myshopify.com,timeout,,False,0,0,False
005c66-46.myshopify.com,timeout,,False,0,0,False
005c6c-2.myshopify.com,timeout,,False,0,0,False
005df6-16.myshopify.com,timeout,,False,0,0,False
005e60-50.myshopify.com,timeout,,False,0,0,False
005e7d-3.myshopify.com,timeout,,False,0,0,False
005ea6-2.myshopify.com,timeout,,False,0,0,False
005f1b-6c.myshopify.com,timeout,,False,0,0,False
005f33-2.myshopify.com,timeout,,False,0,0,False
005f7b-3.myshopify.com,timeout,,False,0,0,False
005f9e-ik.myshopify.com,timeout,,False,0,0,False
005f9f-2.myshopify.com,timeout,,False,0,0,False
005fff-3.myshopify.com,timeout,,False,0,0,False
00604b-be.myshopify.com,timeout,,False,0,0,False
0060d9-2.myshopify.com,timeout,,False,0,0,False
006143-8b.myshopify.com,timeout,,False,0,0,False
006159-8a.myshopify.com,timeout,,False,0,0,False
006223-4.myshopify.com,timeout,,False,0,0,False
006345-ea.myshopify.com,timeout,,False,0,0,False
006346-2.myshopify.com,timeout,,False,0,0,False
006352-2.myshopify.com,timeout,,False,0,0,False
0063cf-3.myshopify.com,timeout,,False,0,0,False
0063fd-2.myshopify.com,timeout,,False,0,0,False
006429-3.myshopify.com,timeout,,False,0,0,False
006446-3e.myshopify.com,timeout,,False,0,0,False
00646c-9d.myshopify.com,timeout,,False,0,0,False
00649b-31.myshopify.com,timeout,,False,0,0,False
0064a0-2.myshopify.com,timeout,,False,0,0,False
00650b-e7.myshopify.com,timeout,,False,0,0,False
00651c-ff.myshopify.com,timeout,,False,0,0,False
006529-3.myshopify.com,timeout,,False,0,0,False
00652c-4.myshopify.com,timeout,,False,0,0,False
00653b-3.myshopify.com,timeout,,False,0,0,False
006583-2c.myshopify.com,timeout,,False,0,0,False
00659a-1e.myshopify.com,timeout,,False,0,0,False
0065f0-6b.myshopify.com,timeout,,False,0,0,False
006607-2.myshopify.com,timeout,,False,0,0,False
006636-5f.myshopify.com,timeout,,False,0,0,False
00666e-c2.myshopify.com,timeout,,False,0,0,False
006690-29.myshopify.com,timeout,,False,0,0,False
006691-2.myshopify.com,timeout,,False,0,0,False
006706-2.myshopify.com,timeout,,False,0,0,False
006754-85.myshopify.com,timeout,,False,0,0,False
006785-22.myshopify.com,timeout,,False,0,0,False
00682c-d4.myshopify.com,timeout,,False,0,0,False
006870-4.myshopify.com,timeout,,False,0,0,False
00687e-2.myshopify.com,timeout,,False,0,0,False
0068a3-2.myshopify.com,timeout,,False,0,0,False
0068cf-2.myshopify.com,timeout,,False,0,0,False
0068cf-3.myshopify.com,timeout,,False,0,0,False
00690f-03.myshopify.com,timeout,,False,0,0,False
00693d-8e.myshopify.com,timeout,,False,0,0,False
00696b-05.myshopify.com,timeout,,False,0,0,False
006a06-f0.myshopify.com,timeout,,False,0,0,False
006a2d-7c.myshopify.com,timeout,,False,0,0,False
006a7b-2e.myshopify.com,timeout,,False,0,0,False
006aa5-2.myshopify.com,timeout,,False,0,0,False
006ab4-3.myshopify.com,timeout,,False,0,0,False
006b51-67.myshopify.com,timeout,,False,0,0,False
006b73-b5.myshopify.com,timeout,,False,0,0,False
006b99-2.myshopify.com,timeout,,False,0,0,False
006bb7-3.myshopify.com,timeout,,False,0,0,False
006bbe-a8.myshopify.com,timeout,,False,0,0,False
006c30-3.myshopify.com,timeout,,False,0,0,False
006c75-1c.myshopify.com,timeout,,False,0,0,False
006d36-98.myshopify.com,timeout,,False,0,0,False
006da1-c8.myshopify.com,timeout,,False,0,0,False
006e66-2.myshopify.com,timeout,,False,0,0,False
006f48-2.myshopify.com,timeout,,False,0,0,False
006f89-80.myshopify.com,timeout,,False,0,0,False
006fb7-c4.myshopify.com,timeout,,False,0,0,False
006fd0-2.myshopify.com,timeout,,False,0,0,False
007002-10.myshopify.com,timeout,,False,0,0,False
007054-2.myshopify.com,timeout,,False,0,0,False
