url,domain,platform,niche,country,source,tranco_rank,majestic_rank
https://deungdaefood.com,deungdaefood.com,unknown,food,,majestic_filtered,0,737780
https://deurbeslagdirect.nl,deurbeslagdirect.nl,unknown,general,,majestic_filtered,0,845712
https://deurklinkenshop.be,deurklinkenshop.be,unknown,general,,majestic_filtered,618919,459581
https://deurmatdirect.nl,deurmatdirect.nl,unknown,general,,majestic_filtered,0,799559
https://deuscustoms.com,deuscustoms.com,unknown,general,,majestic_filtered,266597,104091
https://deusmedical.com,deusmedical.com,unknown,health,,majestic_filtered,0,921073
https://deuspower.shop,deuspower.shop,unknown,general,,majestic_filtered,737027,934969
https://deutsch-sportwetten.com,deutsch-sportwetten.com,unknown,sports,,majestic_filtered,0,511747
https://deutsche-boerse-cash-market.com,deutsche-boerse-cash-market.com,unknown,general,,majestic_filtered,943063,462363
https://deutsche-maerchenstrasse.com,deutsche-maerchenstrasse.com,unknown,general,,majestic_filtered,0,255878
https://deutsche-startups.de,deutsche-startups.de,unknown,art,,majestic_filtered,170001,48257
https://deutsche-stiftung-engagement-und-ehrenamt.de,deutsche-stiftung-engagement-und-ehrenamt.de,unknown,jewelry,,majestic_filtered,291298,88346
https://deutsche-windtechnik.com,deutsche-windtechnik.com,unknown,electronics,,majestic_filtered,436345,609043
https://deutscheaircraft.com,deutscheaircraft.com,unknown,art,,majestic_filtered,0,770223
https://deutscher-computerspielpreis.de,deutscher-computerspielpreis.de,unknown,electronics,,majestic_filtered,0,429811
https://deutscher-engagementpreis.de,deutscher-engagementpreis.de,unknown,jewelry,,majestic_filtered,674062,194183
https://deutscher-petanque-verband.de,deutscher-petanque-verband.de,unknown,pets,,majestic_filtered,0,923477
https://deutscherstartupmonitor.de,deutscherstartupmonitor.de,unknown,electronics,,majestic_filtered,0,622599
https://deutsches-architekturforum.de,deutsches-architekturforum.de,unknown,wine,,majestic_filtered,383561,806068
https://deutsches-spionagemuseum.de,deutsches-spionagemuseum.de,unknown,jewelry,,majestic_filtered,382434,235212
https://deutsches-sportabzeichen.de,deutsches-sportabzeichen.de,unknown,sports,,majestic_filtered,555160,212638
https://deutschesgesundheitsportal.de,deutschesgesundheitsportal.de,unknown,sports,,majestic_filtered,630974,289218
https://deutschesportakademie.de,deutschesportakademie.de,unknown,sports,,majestic_filtered,0,840792
https://deutschestextarchiv.de,deutschestextarchiv.de,unknown,general,,majestic_filtered,276162,143020
https://deutschetechnikdl.com,deutschetechnikdl.com,unknown,electronics,,majestic_filtered,0,547172
https://deutschland-sportwetten-ohne-oasis.de,deutschland-sportwetten-ohne-oasis.de,unknown,sports,,majestic_filtered,0,514192
https://deutschland-startet.de,deutschland-startet.de,unknown,art,,majestic_filtered,884720,340548
https://deutschlandcard.de,deutschlandcard.de,unknown,automotive,,majestic_filtered,33745,328843
https://dev-circuit.com,dev-circuit.com,unknown,general,,majestic_filtered,372294,96345
https://dev-opencart.com,dev-opencart.com,unknown,automotive,,majestic_filtered,0,892254
https://devacurl.com,devacurl.com,unknown,beauty,US,niche_list,408715,245487
https://devart.com,devart.com,unknown,art,,majestic_filtered,74146,38712
https://devarticles.com,devarticles.com,unknown,art,,majestic_filtered,650986,189752
https://devbootcamp.com,devbootcamp.com,unknown,shoes,,majestic_filtered,0,437342
https://devcare-br.com,devcare-br.com,unknown,automotive,,majestic_filtered,0,715671
https://developer-ourbase-camp.com,developer-ourbase-camp.com,unknown,sports,,majestic_filtered,898585,586825
https://developer-tech.com,developer-tech.com,unknown,electronics,,majestic_filtered,347575,114830
https://developer.woocommerce.com,developer.woocommerce.com,woocommerce,tech,US,curated,0,0
https://developer.wordpress.org,developer.wordpress.org,woocommerce,tech,US,curated,0,0
https://developerbazaar.com,developerbazaar.com,unknown,general,,majestic_filtered,0,698093
https://developerforce.com,developerforce.com,unknown,general,,majestic_filtered,134045,275703
https://developershome.com,developershome.com,unknown,home,,majestic_filtered,0,309189
https://developingwatch.com,developingwatch.com,unknown,watches,,majestic_filtered,732498,163125
https://devendrabanhart.com,devendrabanhart.com,unknown,art,,majestic_filtered,0,395761
https://devenireleveurcanin.com,devenireleveurcanin.com,unknown,general,,majestic_filtered,953209,336904
https://deveondi.store,deveondi.store,unknown,general,,majestic_filtered,947389,273359
https://devexpress.com,devexpress.com,unknown,general,,majestic_filtered,30585,28187
https://devhardware.com,devhardware.com,unknown,general,,majestic_filtered,0,646593
https://devianart.com,devianart.com,unknown,art,,majestic_filtered,0,523114
https://deviantart.com,deviantart.com,unknown,art,,majestic_filtered,540,342
https://deviarchy.com,deviarchy.com,unknown,general,,majestic_filtered,0,966775
https://devicecraft.fr,devicecraft.fr,unknown,art,,majestic_filtered,0,709798
https://devicemart.co.kr,devicemart.co.kr,unknown,art,,majestic_filtered,150685,413998
https://deviceparts.com,deviceparts.com,unknown,art,,majestic_filtered,406048,710863
https://devicespecifications.com,devicespecifications.com,unknown,pets,,majestic_filtered,141738,106142
https://devil-cars.pl,devil-cars.pl,unknown,automotive,,majestic_filtered,0,843279
https://devil-pig-games.com,devil-pig-games.com,unknown,kids,,majestic_filtered,0,750805
https://devilishgames.com,devilishgames.com,unknown,kids,,majestic_filtered,0,796931
https://devilman-crybaby.com,devilman-crybaby.com,unknown,kids,,majestic_filtered,0,834212
https://devirgames.com,devirgames.com,unknown,kids,,majestic_filtered,0,782580
https://devlinfuneralhome.com,devlinfuneralhome.com,unknown,home,,majestic_filtered,0,635727
https://devolkitchens.com,devolkitchens.com,unknown,home,,majestic_filtered,0,859149
https://devon-technologies.com,devon-technologies.com,unknown,electronics,,majestic_filtered,0,376696
https://devonshirefurniture.com,devonshirefurniture.com,unknown,home,,majestic_filtered,0,692816
https://devontechnologies.com,devontechnologies.com,unknown,electronics,,majestic_filtered,154991,77762
https://devops-research.com,devops-research.com,unknown,general,,majestic_filtered,0,354962
https://devossenburcht.nl,devossenburcht.nl,unknown,general,,majestic_filtered,0,915778
https://devoteam.com,devoteam.com,unknown,general,,majestic_filtered,150991,63108
https://devotiondresses.com,devotiondresses.com,unknown,fashion,,majestic_filtered,669119,933331
https://devsmartly.com,devsmartly.com,unknown,art,,majestic_filtered,0,658732
https://devsnippets.com,devsnippets.com,unknown,pets,,majestic_filtered,0,755531
https://devsource.com,devsource.com,unknown,general,,majestic_filtered,0,578725
