domain,myshopify,platform,has_products,product_count
buyrose.myshopify.com,buyrose.myshopify.com,shopify,True,1
radiantify.myshopify.com,radiantify.myshopify.com,shopify,False,0
naturalpure.myshopify.com,naturalpure.myshopify.com,shopify,True,1
vogueuk.myshopify.com,vogueuk.myshopify.com,shopify,False,0
beauty-flawless.myshopify.com,beauty-flawless.myshopify.com,shopify,True,1
gear.myshopify.com,gear.myshopify.com,shopify,True,1
