url,domain,platform,niche,country,source,tranco_rank,majestic_rank,status,http_status,has_products,product_count,product_types,tags,is_headless,detected_payments,ecom_signal_count,min_price,max_price,monthly_visits,merchant_name
https://www.benjerry.com,www.benjerry.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,4242058,Ben & Jerry’s
https://petalandpup.com,petalandpup.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,4114772,Petal & Pup USA
https://www.babylist.com,www.babylist.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3982729,Babylist
https://www.keenfootwear.com,www.keenfootwear.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3958271,KEEN Footwear
https://inkbox.com,inkbox.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3942484,Inkbox â„¢
https://tinyrituals.co,tinyrituals.co,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3923972,Tiny Rituals
https://bonnieplants.com,bonnieplants.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3870685,Bonnie Plants
https://www.happiestbaby.com,www.happiestbaby.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3850803,Happiest Baby
https://www.craftsman.com,www.craftsman.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3810420,CRAFTSMAN®
https://www.dailywire.com,www.dailywire.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3798088,The Daily Wire
https://drinkcirkul.com,drinkcirkul.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3715412,Cirkul
https://www.dtlr.com,www.dtlr.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3689589,DTLR
https://www.fluke.com,www.fluke.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3661162,www.fluke.com
https://www.ryzesuperfoods.com,www.ryzesuperfoods.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3513624,RYZE
https://www.proflowers.com,www.proflowers.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3506741,Proflowers
https://www.ligonier.org,www.ligonier.org,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3450629,Ligonier Ministries
https://www.47brand.com,www.47brand.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3441989,'47
https://www.aquariumcoop.com,www.aquariumcoop.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3428271,Aquarium Co-Op
https://spanx.com,spanx.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3400987,Spanx
https://www.glossier.com,www.glossier.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3396501,Glossier
https://www.peets.com,www.peets.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3369932,Peet's Coffee
https://www.hellomolly.com,www.hellomolly.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3367556,Hello Molly
https://www.alphapaw.com,www.alphapaw.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3365514,Alpha Paw
https://daisous.com,daisous.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3361409,daisous.com
