domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
adamshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adaptive.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adashop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
addie.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
addition.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adguide.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
admedic.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adnan.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adodson.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adolfs.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adoptarock.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adready.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adrenalinejunkies.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adrock.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adsense.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adulteratedjedi.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adultproducts.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adultshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advadv.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advancedskincareandmassages.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advancedskincareansmassages.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advantage.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advantix.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advents.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advertis.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adverto.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advice.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
advisor.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adwa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
adwhore.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aelo.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aerovest.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
affarefatto.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
affuone.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
afomi.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
africa.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
africanarts.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
africandream.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
africantreasures.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
afrishop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
after6ix.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
afterdark.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aftermath.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
afternoontee.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aftonbladhet.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agape.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agel.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agent.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aggie.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agilewebdevelopment.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aging.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agnitha.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agorassl.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agramas.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agroots.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
agustins.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ahappyhusband.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ahara.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aharis.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ahart.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ahsodes.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ai-nation.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aidmatrix.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aikadesign.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aimhigh.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aimhigherjets.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aimlow.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aionas.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airbagsystems.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airbrush.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airdrive.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airefarewatchdog.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airfarewatchdog.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airforceone.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airsoft.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airsoftsupplies.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airsoftworld.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
airwave.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aiwen.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aizhe.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ajax.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ajbijoux.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aji-hajime.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ajimaging.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akash.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akbik.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akcesoria.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akeihorse.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akidskorner.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akop38.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
akvarijum.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alabangeagles.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alabaster.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alan.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alanaine.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alanastardust.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alanbernard.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alancfrancis.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alanshop.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
albertisio.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
album.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
albuquerque.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alclothing.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alcohol.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alcuin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alderia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aldin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aldosoft.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alectec.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alejandrasjewelry.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alesic.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alessandra.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alex.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alex77.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexander.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexatrading.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexburr.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexd.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexisamien.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexmari.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexvasilescu.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexvpetrov.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alexwphoto.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aleyda.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
algorythm.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alhambra.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alibaba.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alicejewellery.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alicepalace.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alien.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alink.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alison.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alisonisbizzare.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alit.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alittleofwhatyoufancy.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alittlevintage.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aliwen.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aljezursurf.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alkalol.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alky.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allaboutmetee.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allamericantack.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allard.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allaroundsports.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allcanadiansearch.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allcollection.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allelectronics.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allison.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allmetalmagic.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allnetmedia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allnurses.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allride.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alltechsi.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allthingsgreat.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allthingsred.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allure.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
allwin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
almostcool.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
almscollection.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aloe.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alogia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alohawoodtikis.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alovak.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
aloylenno.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alpesh.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alpfaben.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alpha.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alpstudio.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alqui-ocio.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alsiestees.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
altenativemedicine.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
altern.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alternatives.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alternativevending.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
altitudetea.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alvarezgomez.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alvin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alwin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alynn.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
alysia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
