domain,status,platform,has_products,product_count,ecom_signals,has_payment
heyfarmshops.co.uk,timeout,,False,0,0,False
chart-kalyan.in,active,,False,0,0,False
specdispetcher.ru,active,,False,0,0,False
grafartwebpro.cz,active,,False,0,0,False
flyuptechnology.com,timeout,,False,0,0,False
midnightmusic.com.au,active,,False,0,0,False
artofwarempire.com,active,,False,0,0,False
techylite.com,active,,False,0,0,False
feuerwehrstore.de,active_ecommerce,,True,0,2,False
fit-book.com.tw,active,,False,0,0,False
asia-home.com,timeout,,False,0,0,False
cherseryhome.com,active,,False,0,0,True
small-tech.org,active,,False,0,0,False
smallbone.co.uk,active,,False,0,0,False
ggpbooks.com,active,,False,0,0,False
aladinfoods.bg,active,,False,0,0,False
bartatimes24.com,timeout,,False,0,0,False
oudstore.com,active_ecommerce,shopify,True,3,5,False
poco-home.com,timeout,,False,0,0,False
merrybooks.net,active,,False,0,0,False
giftfromwithin.org,active,,False,0,0,False
cardpoint.or.kr,timeout,,False,0,0,False
lotusbook9.club,active,,False,0,0,False
gameserverhosting.org,active,,False,0,0,False
asmusic.ir,active,,False,0,0,False
aihealthalliance.org.au,http_202,,False,0,0,False
bike-urious.com,http_403,,False,0,0,False
serekoshop.com,active_ecommerce,shopify,True,3,5,False
liquiditybook.com,active,,False,0,1,False
watercare.co.nz,active,,False,0,0,False
webbuy.dev,dead,,False,0,0,False
auctionauto.kg,active,,False,0,0,False
iptechnologylabs.com,timeout,,False,0,0,False
smartvisaguide.com,active,,False,0,0,True
welike2bike.org,active,,False,0,0,False
joycecaris.com.br,dead,,False,0,0,False
bikesonline.com.au,active_ecommerce,shopify,True,3,5,False
huntingtonhealth.org,active,,False,0,0,False
ndhealthfacts.org,active,,False,0,0,False
heimundgarten24.de,active,,False,0,0,False
hit1music.ir,timeout,,False,0,0,False
handlerparts.de,active,,False,0,0,False
unihealth.com.br,active,,False,0,1,False
petiak.com,timeout,,False,0,0,False
setdecorators.org,active,,False,0,0,False
artismedia.by,active,,False,0,0,False
onlinetabakshop.de,active,,False,0,0,False
okfun.pet,active,,False,0,1,False
pandorashops.us,active,,False,0,0,False
samtech.cl,active,,False,0,0,False
techcrusader.in,active,,False,0,0,False
ready-market.com.tw,active,,False,0,0,False
thecaravancompany.com.au,http_503,,False,0,0,False
pdq.tools,dead,,False,0,0,False
curelohealth.com,active,,False,0,0,False
fast1speedshop.com,active,,False,0,0,False
techqueria.org,active,,False,0,0,False
artificialmerch.com,active_ecommerce,shopify,True,3,5,False
thunderbike.de,active,,False,0,0,False
smartsearchresults.com,active,,False,0,0,False
direkteaktion.org,active,,False,0,0,False
jcmhomeservices.net,timeout,,False,0,0,False
flawildflowers.org,active,,False,0,0,False
chicken-road-game.sk,active,,False,0,0,False
jagoan86artist.com,http_403,,False,0,0,False
iphoneremont.kz,http_503,,False,0,0,False
hugoshoes.net,active_ecommerce,woocommerce,True,0,2,False
boutiquepsychotherapy.com,active,,False,0,0,False
musicprosite.com,active_ecommerce,woocommerce,True,0,2,False
smartinterviews.in,active,,False,0,0,False
mountaineersbooks.org,active,,False,0,0,False
pitttechnologygroup.com,active,,False,0,0,False
stampytools.com,active_ecommerce,shopify,True,3,5,False
