nohup: ignoring input
2026-04-02 21:50:42,851 [INFO] Loaded 48,454 domains from output/remaining_ecom_filtered.csv
2026-04-02 21:50:42,851 [INFO] To process: 48,454
2026-04-02 21:50:42,851 [INFO] Workers: 15, Chunk size: 500
2026-04-03 00:23:34,957 [INFO] Chunk 37/97 | Processed: 18,500 | Active: 10,453 | E-commerce: 1,428 (7.7%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:29:13,350 [INFO] Chunk 38/97 | Processed: 19,000 | Active: 10,635 | E-commerce: 1,459 (7.7%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:34:42,851 [INFO] Chunk 39/97 | Processed: 19,500 | Active: 10,833 | E-commerce: 1,481 (7.6%) | Rate: 2/s | ETA: 4.1h
2026-04-03 00:41:06,860 [INFO] Chunk 40/97 | Processed: 20,000 | Active: 10,945 | E-commerce: 1,495 (7.5%) | Rate: 2/s | ETA: 4.0h
2026-04-03 00:47:14,595 [INFO] Chunk 41/97 | Processed: 20,500 | Active: 11,067 | E-commerce: 1,513 (7.4%) | Rate: 2/s | ETA: 4.0h
2026-04-03 00:54:01,881 [INFO] Chunk 42/97 | Processed: 21,000 | Active: 11,104 | E-commerce: 1,518 (7.2%) | Rate: 2/s | ETA: 4.0h
2026-04-03 01:00:42,131 [INFO] Chunk 43/97 | Processed: 21,500 | Active: 11,140 | E-commerce: 1,526 (7.1%) | Rate: 2/s | ETA: 4.0h
2026-04-03 01:07:33,549 [INFO] Chunk 44/97 | Processed: 22,000 | Active: 11,154 | E-commerce: 1,527 (6.9%) | Rate: 2/s | ETA: 3.9h
2026-04-03 01:14:28,449 [INFO] Chunk 45/97 | Processed: 22,500 | Active: 11,167 | E-commerce: 1,528 (6.8%) | Rate: 2/s | ETA: 3.9h
2026-04-03 01:21:08,847 [INFO] Chunk 46/97 | Processed: 23,000 | Active: 11,203 | E-commerce: 1,532 (6.7%) | Rate: 2/s | ETA: 3.9h
2026-04-03 01:27:31,790 [INFO] Chunk 47/97 | Processed: 23,500 | Active: 11,319 | E-commerce: 1,551 (6.6%) | Rate: 2/s | ETA: 3.8h
2026-04-03 01:34:35,758 [INFO] Chunk 48/97 | Processed: 24,000 | Active: 11,320 | E-commerce: 1,551 (6.5%) | Rate: 2/s | ETA: 3.8h
2026-04-03 01:40:42,823 [INFO] Chunk 49/97 | Processed: 24,500 | Active: 11,467 | E-commerce: 1,571 (6.4%) | Rate: 2/s | ETA: 3.7h
2026-04-03 01:47:42,562 [INFO] Chunk 50/97 | Processed: 25,000 | Active: 11,485 | E-commerce: 1,573 (6.3%) | Rate: 2/s | ETA: 3.7h
2026-04-03 01:54:40,850 [INFO] Chunk 51/97 | Processed: 25,500 | Active: 11,491 | E-commerce: 1,574 (6.2%) | Rate: 2/s | ETA: 3.7h
2026-04-03 02:01:06,972 [INFO] Chunk 52/97 | Processed: 26,000 | Active: 11,587 | E-commerce: 1,590 (6.1%) | Rate: 2/s | ETA: 3.6h
2026-04-03 02:07:49,854 [INFO] Chunk 53/97 | Processed: 26,500 | Active: 11,625 | E-commerce: 1,596 (6.0%) | Rate: 2/s | ETA: 3.6h
