domain,url,platform,has_products,product_count,ecom_signals,detected_payments,tags,min_price,max_price
zippo.com,https://zippo.com,shopify,True,5,1,,ACTIVE|animal|blue|bro|buff dinosaur|2017|ACTIVE|black|Blazy|Blazy gang,28.95,37.95
meshki.com.au,https://meshki.com.au,shopify,True,5,1,,CreditOnly|exclusive:Bronze|exclusive:Platinum|exclusive:Silver|Heritage 2026|CreditOnly|Heritage 2026|pair:dasha-sling-back-heels-ivory|pair:elianne-satin-frame-clutch-bag-white|REUNION DROP 4,199.0,399.0
iliabeauty.com,https://iliabeauty.com,shopify,True,5,1,,all|bundle|flag::New|LoopRtns_bundles|new|all|bundle|eye|flag::New|LoopRtns_bundles,80.0,117.0
gorjana.com,https://gorjana.com,shopify,False,0,1,,,0,0
nisolo.com,https://nisolo.com,shopify,True,0,1,,,0,0
madeincookware.com,https://madeincookware.com,shopify,False,0,1,,,0,0
coolpc.com.tw,https://coolpc.com.tw,woocommerce,True,0,1,,,0,0
singer.com,https://singer.com,shopify,False,0,1,,,0,0
cuyana.com,https://cuyana.com,shopify,True,0,1,,,0,0
puravidabracelets.com,https://puravidabracelets.com,shopify,True,0,1,,,0,0
milkmakeup.com,https://milkmakeup.com,shopify,True,0,1,afterpay,,0,0
nomadgoods.com,https://nomadgoods.com,shopify,False,0,1,,,0,0
untuckit.com,https://untuckit.com,shopify,True,5,1,,care-instructions::damaschino-care|category:polos|category:What to Wear Going Out|color-collection::damaschino-ss|color:black|care-instructions::damaschino-care|category:polos|category:What to Wear Going Out|color-collection::damaschino-ss|color:blue,79.5,125.0
suta.in,https://suta.in,shopify,True,5,1,,__with:pre-drape-this-saree|Colour_Maroon|Discount eligible 2025|discount_applicable|Fabric_Organza|__with:pre-drape-this-saree|BLUE|Blue Color|Blue Colour|Blue Sadi,2960.0,27000.0
alphaleteathletics.com,https://alphaleteathletics.com,shopify,True,5,1,,AA24-DEC|AA24-DEC07|bar:fit-50|bf-bucket:50-60%|bf:60%|AA24-DEC|AA24-DEC09|AA25-JUNE14|Amplify_Legging|bar:compression-75,16.0,48.0
missoma.com,https://missoma.com,shopify,True,5,1,,__label:Save £29|Hoops_Size:Mini Hoops & Huggies|Metal 2:Gold|Metal:18ct Gold Vermeil|Pearl & Gemstone Jewellery|__label:Save £42|Gemstone:Cubic Zirconia|Gemstone:Pearl|Metal 2:Gold|Metal:18ct Gold Vermeil,119.0,255.0
sokoglam.com,https://sokoglam.com,shopify,True,0,1,,,0,0
summerfridays.com,https://summerfridays.com,shopify,True,0,1,afterpay,,0,0
drinktrade.com,https://drinktrade.com,shopify,True,5,1,,first-match-eligible|New|Organic|Women-Owned|first-match-eligible|New|first-match-eligible|New|first-match-eligible|seasonal,21.99,119.99
hauslabs.com,https://hauslabs.com,shopify,True,5,1,,cart_bundle|cheek|discount-eligible|NEW|cart_bundle|cheek|complexion|NEW|new arrivals|cart_bundle,42.0,190.0
beardbrand.com,https://beardbrand.com,shopify,True,5,1,,Black Sails|live|new badge|Ghost Tracer|live|new badge|Desert Road|live|new badge|Four Vices,45.0,140.0
tuftandneedle.com,https://tuftandneedle.com,shopify,True,5,1,,,499.0,1699.0
hellotushy.com,https://hellotushy.com,shopify,True,5,1,,Final Sale|Wave/Oasis Seat & Lid Exchange|Final Sale|Wave/Oasis Seat & Lid Exchange|Wave/Oasis Seat & Lid Exchange|Final Sale|Wave/Oasis Seat & Lid Exchange|Wave/Oasis Seat & Lid Exchange,16.0,16.0
tenthousand.cc,https://tenthousand.cc,shopify,True,5,1,,BFCM_45_Off|EOS_SALE_MARCH26|final-sale-corso|hide: basalt|shorts|gen-v2|include_in_collections|main-category: shirts|new arrivals|shirts,46.0,118.0
moonjuice.com,https://moonjuice.com,shopify,False,0,1,,,0,0
burrow.com,https://burrow.com,shopify,False,0,1,,,0,0
cowboy.com,https://cowboy.com,shopify,False,0,1,klarna,,0,0
magicspoon.com,https://magicspoon.com,shopify,False,0,1,,,0,0
kirrinfinch.com,https://kirrinfinch.com,shopify,True,0,1,,,0,0
buffy.co,https://buffy.co,shopify,True,0,1,,,0,0
koio.co,https://koio.co,shopify,True,0,1,,,0,0
wildone.com,https://wildone.com,shopify,True,0,1,,,0,0
kotn.com,https://kotn.com,shopify,False,0,1,,,0,0
nakedwolfe.com,https://nakedwolfe.com,shopify,False,0,1,,,0,0
olehenriksen.com,https://olehenriksen.com,shopify,True,0,1,afterpay|shopify_payments,,0,0
maguireshoes.com,https://maguireshoes.com,shopify,True,0,1,afterpay,,0,0
athleticgreens.com,https://athleticgreens.com,shopify,False,0,1,,,0,0
pelacase.ca,https://pelacase.ca,shopify,True,0,1,,,0,0
brightland.co,https://brightland.co,shopify,True,0,1,shopify_payments,,0,0
flybyjing.com,https://flybyjing.com,shopify,True,0,1,,,0,0
beautybakerie.com,https://beautybakerie.com,shopify,True,5,1,,Best Sellers|lip whip|Best Sellers|lip whip|back-in-stock|badge::gluten|badge::paraben|badge::smudge-proof|badge::vegan|badge::gluten,20.0,50.0
greatjonesgoods.com,https://greatjonesgoods.com,shopify,True,5,1,,badge_Save $60!|Govalo Gift Card (Do Not Delete)|Component|Stainless Steel,25.0,1000.0
artisaire.com,https://artisaire.com,shopify,True,0,1,,,0,0
bebemoss.com,https://bebemoss.com,shopify,True,0,1,,,0,0
beneathyourmask.com,https://beneathyourmask.com,shopify,True,0,1,,,0,0
blkandbold.com,https://blkandbold.com,shopify,True,0,1,,,0,0
bloomist.com,https://bloomist.com,shopify,True,0,1,,,0,0
camillebrinch.com,https://camillebrinch.com,shopify,True,0,1,,,0,0
coffeebeandirect.com,https://coffeebeandirect.com,shopify,True,5,1,,Decaf Flavored Roasted Coffee|Flavored Coffee Roasted Coffee|Limited Release Roasted Coffee|Roasted Coffee|Flavored Coffee Roasted Coffee|Limited Release Roasted Coffee|Regular Flavored Roasted Coffee|Roasted Coffee|Decaf Flavored Roasted Coffee|Flavored Coffee Roasted Coffee,20.95,72.95
flourist.com,https://flourist.com,shopify,True,0,1,,,0,0
freshheritage.com,https://freshheritage.com,shopify,True,0,1,,,0,0
hannafords.com,https://hannafords.com,opencart,False,0,1,,,0,0
hiutdenim.co.uk,https://hiutdenim.co.uk,shopify,False,0,1,,,0,0
hylete.com,https://hylete.com,shopify,True,0,1,,,0,0
lastobject.com,https://lastobject.com,shopify,False,0,1,,,0,0
meowmeowtweet.com,https://meowmeowtweet.com,shopify,True,0,1,,,0,0
partakefoods.com,https://partakefoods.com,shopify,True,5,1,,,0,0
portlandleather.com,https://portlandleather.com,shopify,True,5,1,,_imageTrigger=Color|exchange_fee:995|formal|geometrical|google pr|_imageTrigger=Color|airpods|AP|ap_small_goods|Clearance,20.0,160.0
potgang.co.uk,https://potgang.co.uk,shopify,True,5,1,,box_recurring|box_recurring|box_recurring|box_recurring,13.08,32.12
satyaorganics.com,https://satyaorganics.com,shopify,True,0,1,,,0,0
silkandwillow.com,https://silkandwillow.com,shopify,True,5,1,,pillow covers|blush ribbon|care_r_habutai|classic|detail_r_classic|ribbon sets|antique white|care_f_cotton|cotton gauze|detail_f_tightweave,18.0,265.0
terrebleu.ca,https://terrebleu.ca,shopify,True,5,1,,Current_2025,2.5,57.0
thenimetyou.com,https://thenimetyou.com,shopify,True,5,1,,YGroup_Golki|YGroup_HDLM|YGroup_RRBC|YGroup_TSBD,46.0,84.0
tofinosoapcompany.com,https://tofinosoapcompany.com,shopify,True,0,1,,,0,0
uppercasemagazine.com,https://uppercasemagazine.com,shopify,True,5,1,,wholesale|69|bundle,24.0,225.0
moschino.com,https://moschino.com,shopify,True,0,1,,,0,0
ecuagenera.com,https://ecuagenera.com,shopify,True,5,1,,Intermediate|New Arrivals|Orchid|Orchids Hybrids|Vandachostylis|New Arrivals|Orchid|Orchidacea|Vanda|Warm,15.0,70.0
telldus.com,https://telldus.com,shopify,True,5,1,,433MHz|Z-Wave|Z-Wave|433MHz|A|Z-Wave|A|Z-Wave|433MHz|A,69.0,1299.0
audioadvice.com,https://audioadvice.com,shopify,True,5,1,,Home Audio|Home Theater|Speakers|Subwoofers|Home Audio|Home Theater|Soundbars|Home Audio|Home Theater|Soundbars,328.0,898.0
tatanutrikorner.com,https://tatanutrikorner.com,shopify,True,0,1,,,0,0
enchroma.com,https://enchroma.com,shopify,True,5,1,,superx|CBAWARE|father|Non-Sale Outdoor|Outdoor|Outdoor Deutan|CBAWARE|father|Non-Sale Outdoor|Outdoor,189.0,189.0
schoolofpe.com,https://schoolofpe.com,shopify,True,5,1,,Live Online|PE|PE Fire Protection|Live Online|PE|PE Control Systems|ECC|Live Online|PE|PE Electrical,99.0,2699.0
antler.co.uk,https://antler.co.uk,shopify,True,5,1,,collection:all-bags|collection:all-luggage|collection:backpack|collection:discovery|collection:hand-luggage|collection:essential|collection:laptop-bags|collection:luggage|collection:new-arrivals|collection:travel-essentials,14.0,190.0
sugarshape.de,https://sugarshape.de,shopify,True,5,1,,,2.99,79.99
drifthq.com,https://drifthq.com,shopify,True,5,1,,new-30-days|new-30-days|new-30-days|new-30-days|new-30-days,4.56,635.05
numerogroup.com,https://numerogroup.com,shopify,True,5,1,,Emo|format:45|format:Digital|format:LP|hardcore|format:Digital|format:LP|New Age|Pre-Order|format:CD,10.0,100.0
yosekastationery.com,https://yosekastationery.com,shopify,True,5,1,,accessories|animal|animals|coming-soon|product|accessories|book clip|coming-soon|kept|product,5.0,200.0
ehplabs.com,https://ehplabs.com,shopify,True,0,1,,,0,0
tkees.com,https://tkees.com,shopify,True,5,1,,1Z1|footwear|regular_price|Sandals|women|1Z1|footwear|regular_price|Sandals|women,90.0,100.0
mynextbike.co.uk,https://mynextbike.co.uk,shopify,True,5,1,,business|hardtail|RRP_240|Subcategory_Crosscountry|RRP_|Subcategory_Trail|suspension|RRP_1365|hardtail|RRP_,285.0,14460.0
donnatellaperfumes.com,https://donnatellaperfumes.com,shopify,True,5,1,,,55.0,78.0
silverbackgymwear.com,https://silverbackgymwear.com,shopify,True,0,1,,,0,0
diegodallapalma.com,https://diegodallapalma.com,shopify,True,0,1,,,0,0
pandaliebe.de,https://pandaliebe.de,shopify,True,0,1,,,0,0
getoutsideshoes.com,https://getoutsideshoes.com,shopify,True,0,1,,,0,0
reflectwindow.com,https://reflectwindow.com,shopify,True,5,1,,H3871-(4-1/2)|H3871-(4-1/2)-Discontinued|H3872-(6)|H3872-(6)- Discontinued|H3873-(8)|5-4089|CAH-450|Locks and Accessories|Hardware|MHL-125-36,63.51,419.08
elektor.de,https://elektor.de,shopify,False,0,1,,,0,0
pringlescotland.com,https://pringlescotland.com,shopify,True,5,1,,Collection_Mens Ss26|Collection_New Arrivals|Collection_Shop Men|Collection_Wovens|comp:100% Cotton|Collection_Mens Ss26|Collection_New Arrivals|Collection_Shop Men|Collection_Wovens|comp:100% Cotton,85.0,85.0
torani.in,https://torani.in,shopify,True,5,1,,Accessories|ACTIVE|bestsellers|bs22|hair accessories|ACTIVE|cd-women|Client diaries|Client Diary|Torani Tribe,15500.0,175500.0
ashimafashion.com,https://ashimafashion.com,shopify,True,5,1,,ready-dispatch|preorder|Saree|Silk|Saree|Silk|Embroidered|Saree,2200.0,5600.0
dealsexpress.pk,https://dealsexpress.pk,shopify,True,5,1,,,4999.0,10999.0
homebakersmart.co.in,https://homebakersmart.co.in,shopify,True,5,1,,,15.0,75.0
usasports.co.uk,https://usasports.co.uk,shopify,True,5,1,,Jersey|Los Angeles Lakers|NBA|Caps|NFL|Washington Commanders|Caps|NFL|Tennessee Titans|Caps,35.0,70.0
awareness-avenue.com,https://awareness-avenue.com,shopify,True,5,1,,925 sterling silver|anniversary gift|clover necklace|cubic zirconia|gift box included|925 sterling silver|delicate pendant|everyday necklace|gift for her|meaning necklace,49.95,1599.95
geologie.com,https://geologie.com,shopify,True,0,1,,,0,0
a7canada.com,https://a7canada.com,shopify,True,0,1,,,0,0
aadvikfoods.com,https://aadvikfoods.com,shopify,True,0,1,,,0,0
ador.health,https://ador.health,shopify,True,5,1,,diabetes khakhra|diabetes snack|Diet Khakhra|healthy snack|Keto|diabetes snack|healthy snack|Keto|keto biscuit|keto coconut,249.0,599.0
adozencousins.com,https://adozencousins.com,shopify,True,5,1,,more|tile|variety-pack,3.75,49.99
adpoolsandtoys.com,https://adpoolsandtoys.com,shopify,True,5,1,,10-25|25-50|jellycat|over-25|sea-life|25-50|cats-and-dogs|jellycat|over-25|toys-for-12-24-month-olds,18.0,40.0
afterwork-grocery.com,https://afterwork-grocery.com,shopify,True,5,1,,dishwasher__safe|microwave__safe|nav__tableware|多色選擇|日本製|dishwasher__safe|microwave__safe|nav__tableware|多色選擇|日本製,38.0,1811.0
ambercrown.com,https://ambercrown.com,shopify,True,5,1,,amber-teething-necklace-multicolor|Baby products|dark-green-amber-teething-necklace|Pet Collars|Baby products|promo,11.97,33.97
amoveablefeast.com,https://amoveablefeast.com,shopify,True,0,1,,,0,0
artisanthropy.ca,https://artisanthropy.ca,shopify,True,5,1,,Classes,10.99,35.0
artte.org,https://artte.org,shopify,True,1,1,,Coleccion Ricardo Miro|Edición Especial Aniversario|Fotografía Artística,99.0,99.0
australian-bodycare.se,https://australian-bodycare.se,shopify,True,5,1,,Salicylic Acid|bundle|FreeSOSstick|Salicylic Acid|FreeSOSstick|Salicylic Acid|Salicylic Acid|Salicylic Acid,119.0,729.0
australianwheatgrass.com.au,https://australianwheatgrass.com.au,shopify,True,0,1,,,0,0
batchd.co.uk,https://batchd.co.uk,shopify,True,5,1,,,3.99,26.99
bbydesigns.com.au,https://bbydesigns.com.au,shopify,True,5,1,,,179.0,179.0
beefuel.org,https://beefuel.org,shopify,True,2,1,,,20.0,90.0
bellanaillounge.com,https://bellanaillounge.com,shopify,True,5,1,,Event|Event|DIY|Event|Resin,55.0,90.0
bigmurphys.com,https://bigmurphys.com,shopify,True,5,1,,_guid_fe7f29dd-c690-4b2a-9447-8da7bac1a68a|_idc_2706|_idcs_2706|_mc_1935|onlycustom|_guid_f1ffc6ea-6035-4a0c-8f4d-5ca96e5416fd|_idc_2706|_idcs_608|_mc_1587|onlycustom,369.0,895.0
brewbitz.com,https://brewbitz.com,shopify,True,5,1,,Brand_Muntons|Style_BeerKits|Style_Lager|Brand_Muntons|Style_BeerKits|Style_World Beers|Brand_Muntons|Style_BeerKits|Style_Lager|Style_World Beers,13.43,13.43
brewy.com.au,https://brewy.com.au,shopify,True,5,1,,,2.5,52.9
buddhabubblesboba.com,https://buddhabubblesboba.com,shopify,True,5,1,,Matcha / Green Tea|Milk Tea|Thai Tea|keychains|keychains|Strawberry|Black|Brown Sugar|Bundle,12.99,29.99
buyacupuncture.ca,https://buyacupuncture.ca,shopify,True,5,1,,acupuncture-needles-silverstar-silver-handle-with-loop|acupuncture-needles-silverstar-silver-handle-with-loop-s-type-5-needles-with-1-tube|magento-7354|migrated|acupuncture-needles-hwayi-metal-handle-with-loop|acupuncture-needles-hwayi-metal-handle-with-loop-a-type-1-needle-with-1-tube|magento-7355|migrated|acupuncture-needles-pine-metal-handle-no-loop|acupuncture-needles-pine-metal-handle-no-loop-pine-10-type-10-needles-with-1-tube,5.0,27.5
buyemptycapsules.com.au,https://buyemptycapsules.com.au,shopify,True,5,1,,accessories|new|accessories|new|accessories|new|accessories|new|accessories|new,4.95,49.95
ca.goodgoodbrand.com,https://ca.goodgoodbrand.com,shopify,True,5,1,,,9.99,11.99
camilalamps.com,https://camilalamps.com,shopify,True,5,1,,Above3000|All products|Allabove3000|chandelier|Custom Chandelier|$500–$1000|All Products|Bedroom|Dining & Kitchen|Kitchen Island Pendant,538.0,7300.0
cardiologycoffee.com,https://cardiologycoffee.com,shopify,True,5,1,,,25.0,126.0
casualproclub.com,https://casualproclub.com,shopify,True,5,1,,,45.0,160.0
checkoutmybuns.com,https://checkoutmybuns.com,shopify,True,4,1,,vegan|vegan|Vegetarian|vegan,15.0,15.0
cherrish.com,https://cherrish.com,shopify,True,5,1,,Accessories|Hats|Long Sleeves|Men's Clothing|Outdoor|Sportswear|DTF|Long Sleeves|performance|Polyester,21.05,69.45
chococheeseny.com,https://chococheeseny.com,shopify,True,5,1,,Box|Gift Boxes|Gift Boxes|Shavuos25|Gift Boxes|purim 2026|Purim24|Gift Boxes|Purim|Gift Boxes,38.0,275.0
chocogala.com,https://chocogala.com,shopify,True,5,1,,,12.0,50.0
choconchoc.co.uk,https://choconchoc.co.uk,shopify,True,5,1,,Dinner Party|Food|MDEAST|Shop All|her|him|Shop All|Sports|Sports and Games|easter,8.95,48.0
citizenshirt.com,https://citizenshirt.com,shopify,True,5,1,,featured tee|Men's|Men's|Men's|Women's|Women's,24.0,24.0
classicgoldenpecans.com,https://classicgoldenpecans.com,shopify,True,5,1,,king cake|flavors|best seller|specialty gifts|specialty gifts,4.5,100.0
coastnewzealand.com,https://coastnewzealand.com,shopify,True,5,1,,ExCushionAddOn|NZ|acrylic|canvas|clearance cushion|cushion|dyed|clearance luggage|ExCushionAddOn|acrylic,126.0,420.0
coins-of-crypto.com,https://coins-of-crypto.com,shopify,True,2,1,,Layer 1|Layer 1,42.0,67.6
comeme.com.mx,https://comeme.com.mx,shopify,True,5,1,,Perecedero|Perecedero|arreglo|modelo1|Perecedero,500.0,1980.0
corechamps.ae,https://corechamps.ae,shopify,True,5,1,,Energy Booster|Enhance Performance|Increase Performance|Muscle Pump|Nitric Oxide|Boost Energy|Energy Booster|Enhance Performance|Increase Performance|Muscle Pump,99.0,189.0
cortezcoffee.com,https://cortezcoffee.com,shopify,True,5,1,,retail-only|Blend|Medium Roast|Medium Roast|retail-only|Single Origin|Blend|retail-only,11.0,135.0
creamgelateria.com,https://creamgelateria.com,shopify,True,5,1,,,10.99,10.99
crossfit.wildebrands.com,https://crossfit.wildebrands.com,shopify,True,4,1,,eight|eight|eight|eight,19.99,19.99
cupcakenovelties.com,https://cupcakenovelties.com,shopify,True,5,1,,Desserts package|Dubai chocolate|dubai chocolate brownie|Dubai chocolate cake|Dubai chocolate strawberry cups|Biscoff chocolate|Dubai chocolate|Eid al Adha|Eid Cookie Decorating Kit|Eid Cookies,15.0,180.0
dazzledryaustralia.com.au,https://dazzledryaustralia.com.au,shopify,True,5,1,,easy-bundle|smart-cart-hide-bundle-options|gift-card|giftcard|Nail & Skin Care|mini flight|frost|Pinks & Purples,29.9,211.5
dozyoats.com,https://dozyoats.com,shopify,True,5,1,,Allergen free|Gluten free|Kosher|No Tree Nuts|Soy Free|<1g Added Sugar|Allergen free|Gluten free|Kosher|No added sugar,22.99,34.99
drinkrevitalyte.com,https://drinkrevitalyte.com,shopify,True,0,1,,,0,0
drjuiceusa.com,https://drjuiceusa.com,shopify,True,5,1,,,8.49,47.0
drvanilla.com,https://drvanilla.com,shopify,True,5,1,,alcohol free vanilla|baking|natural vanilla|extract|oak|extract,14.99,209.0
easterndistrictny.com,https://easterndistrictny.com,shopify,True,5,1,,,3.99,74.99
eatsaltysweet.com,https://eatsaltysweet.com,shopify,True,5,1,,chocolate chip|chocolate chip cookies|cookies|sprinkle cookies|sprinkles|birthday cake cookies|caramel coconut|caramel cookie|caramel crunch|caramel crunch cookies,10.0,35.0
eberkshire.com,https://eberkshire.com,shopify,True,5,1,,Faire|Knee Highs|Queen Size|Control Top|Queen Size|Regular Size|Shapewear|Control Top|Queen Size|Regular Size,10.0,20.0
edibleblooms.co.nz,https://edibleblooms.co.nz,shopify,True,5,1,,Chocolate Bouquet|Easter|Chocolate Bouquet|Easter|Addon|Addon|Addon,10.5,132.5
estickybrand.com,https://estickybrand.com,shopify,True,0,1,,,0,0
feniz.nl,https://feniz.nl,shopify,True,0,1,,,0,0
jm-boots.com,https://jm-boots.com,shopify,True,0,1,,,0,0
kurvesbyjanet.com,https://kurvesbyjanet.com,shopify,True,0,1,,,0,0
laselvabeachspice.com,https://laselvabeachspice.com,shopify,True,0,1,,,0,0
matbakhyspices.com,https://matbakhyspices.com,shopify,True,0,1,,,0,0
missionbmx.com,https://missionbmx.com,shopify,True,0,1,,,0,0
natureslureshop.com,https://natureslureshop.com,shopify,True,0,1,,,0,0
numgourmetdesserts.com,https://numgourmetdesserts.com,shopify,True,0,1,,,0,0
outrightbar.com,https://outrightbar.com,shopify,True,0,1,,,0,0
shop.breathetogetheryoga.com,https://shop.breathetogetheryoga.com,shopify,True,0,1,,,0,0
shop.fatdaddios.com,https://shop.fatdaddios.com,shopify,True,0,1,,,0,0
shop.herbazest.com,https://shop.herbazest.com,shopify,True,0,1,shopify_payments,,0,0
